lead_frequency_class,scenario,n_haplotypes,n_partners,replicate,lead_alt_frequency,n_monomorphic_panel_variants,fit_available,lead_state,n_conditioning_haplotypes,empirical_mode_available,empirical_mode_maximum_count,n_tied_empirical_modes,true_mode_in_empirical_mode_set,ld_sign_available,n_undefined_ld_sign_partners,true_top1_in_fitted_top10,top10_overlap_fraction,available,strategy,exact_true_mode,hamming_to_true_mode,true_log_probability,true_probability,true_probability_regret,true_rank_if_top10
common,balanced_q1,1000,256,15,0.31421156033326153,0,True,1,307,True,1,307,False,True,0,True,0.4,True,ld_sign,True,0.0,-13.147974541564928,1.9494280393543936e-06,1.6940658945086007e-20,1.0
common,balanced_q1,1000,256,16,0.3908995177824335,1,True,0,608,True,1,608,False,False,1,True,0.5,True,fitted,True,0.0,-12.699690084480821,3.0520712957396454e-06,3.2610768469290563e-20,1.0
common,balanced_q1,1000,256,16,0.3908995177824335,1,True,0,608,True,1,608,False,False,1,True,0.5,True,empirical_mode,False,115.0,-34.60337184460853,9.374466309938666e-16,3.0520712948022315e-06,
common,balanced_q1,1000,256,16,0.3908995177824335,1,True,0,608,True,1,608,False,False,1,True,0.5,False,ld_sign,,,,,,
common,balanced_q1,1000,256,16,0.3908995177824335,1,True,1,392,True,1,392,False,False,1,False,0.0,True,fitted,False,2.0,-18.96142140439444,5.823167935977166e-09,1.9149514066153114e-06,
common,balanced_q1,1000,256,16,0.3908995177824335,1,True,1,392,True,1,392,False,False,1,False,0.0,True,empirical_mode,False,139.0,-48.95673530015938,5.4746959817298e-22,1.920774574551288e-06,
common,balanced_q1,1000,256,16,0.3908995177824335,1,True,1,392,True,1,392,False,False,1,False,0.0,False,ld_sign,,,,,,
common,balanced_q1,1000,256,17,0.2878220092752293,0,True,0,711,True,1,711,False,True,0,True,0.7,True,fitted,True,0.0,-13.01195410028646,2.2334700620713294e-06,1.1858461261560205e-20,1.0
common,balanced_q1,1000,256,17,0.2878220092752293,0,True,0,711,True,1,711,False,True,0,True,0.7,True,empirical_mode,False,116.0,-53.724046532020985,4.655250395027664e-24,2.2334700620713413e-06,
common,balanced_q1,1000,256,17,0.2878220092752293,0,True,0,711,True,1,711,False,True,0,True,0.7,True,ld_sign,True,0.0,-13.01195410028646,2.2334700620713294e-06,1.1858461261560205e-20,1.0
common,balanced_q1,1000,256,17,0.2878220092752293,0,True,1,289,True,1,289,False,True,0,True,0.6,True,fitted,True,0.0,-13.139652774975966,1.9657184128112915e-06,3.3881317890172014e-21,1.0
common,balanced_q1,1000,256,17,0.2878220092752293,0,True,1,289,True,1,289,False,True,0,True,0.6,True,empirical_mode,False,128.0,-53.95624633623448,3.690625277605235e-24,1.965718412811295e-06,
common,balanced_q1,1000,256,17,0.2878220092752293,0,True,1,289,True,1,289,False,True,0,True,0.6,True,ld_sign,True,0.0,-13.139652774975966,1.9657184128112915e-06,3.3881317890172014e-21,1.0
common,balanced_q1,1000,256,18,0.30526775755725827,0,True,0,711,True,1,711,False,True,0,True,0.3,True,fitted,False,1.0,-15.28051989533344,2.3107583382689125e-07,9.65863023432267e-07,4.0
common,balanced_q1,1000,256,18,0.30526775755725827,0,True,0,711,True,1,711,False,True,0,True,0.3,True,empirical_mode,False,121.0,-35.3174546393869,4.590123125855655e-16,1.196938856800146e-06,
common,balanced_q1,1000,256,18,0.30526775755725827,0,True,0,711,True,1,711,False,True,0,True,0.3,True,ld_sign,True,0.0,-13.63574321267706,1.1969388572591582e-06,0.0,1.0
common,balanced_q1,1000,256,18,0.30526775755725827,0,True,1,289,True,1,289,False,True,0,True,0.3,True,fitted,False,1.0,-14.136698281247938,7.252870849365886e-07,3.778759304897771e-06,4.0
common,balanced_q1,1000,256,18,0.30526775755725827,0,True,1,289,True,1,289,False,True,0,True,0.3,True,empirical_mode,False,129.0,-41.320115710478085,1.1347540863105326e-18,4.504046389833225e-06,
common,balanced_q1,1000,256,18,0.30526775755725827,0,True,1,289,True,1,289,False,True,0,True,0.3,True,ld_sign,True,0.0,-12.310534367483138,4.504046389834335e-06,2.456395547037471e-20,1.0
common,balanced_q1,1000,256,19,0.16105722800943623,0,True,0,833,True,1,833,False,True,0,True,0.3,True,fitted,True,0.0,-12.891433901586195,2.5195407840801695e-06,1.3552527156068805e-20,1.0
common,balanced_q1,1000,256,19,0.16105722800943623,0,True,0,833,True,1,833,False,True,0,True,0.3,True,empirical_mode,False,123.0,-37.45103421777585,5.435287206846223e-17,2.51954078402583e-06,
common,balanced_q1,1000,256,19,0.16105722800943623,0,True,0,833,True,1,833,False,True,0,True,0.3,True,ld_sign,True,0.0,-12.891433901586195,2.5195407840801695e-06,1.3552527156068805e-20,1.0
common,balanced_q1,1000,256,19,0.16105722800943623,0,True,1,167,True,1,167,False,True,0,True,0.4,True,fitted,True,0.0,-12.97951047196762,2.3071202135311657e-06,0.0,1.0
common,balanced_q1,1000,256,19,0.16105722800943623,0,True,1,167,True,1,167,False,True,0,True,0.4,True,empirical_mode,False,120.0,-37.92081518347964,3.3978109886846144e-17,2.3071202134971874e-06,
common,balanced_q1,1000,256,19,0.16105722800943623,0,True,1,167,True,1,167,False,True,0,True,0.4,True,ld_sign,True,0.0,-12.97951047196762,2.3071202135311657e-06,0.0,1.0
common,balanced_q1,1000,256,20,0.396581902659872,0,True,0,618,True,1,618,False,True,0,True,0.3,True,fitted,True,0.0,-13.701593665270632,1.1206589860642705e-06,3.8116482626443515e-21,1.0
common,balanced_q1,1000,256,20,0.396581902659872,0,True,0,618,True,1,618,False,True,0,True,0.3,True,empirical_mode,False,124.0,-39.281111105541015,8.718267773433662e-18,1.120658986055556e-06,
common,balanced_q1,1000,256,20,0.396581902659872,0,True,0,618,True,1,618,False,True,0,True,0.3,True,ld_sign,True,0.0,-13.701593665270632,1.1206589860642705e-06,3.8116482626443515e-21,1.0
common,balanced_q1,1000,256,20,0.396581902659872,0,True,1,382,True,1,382,False,True,0,True,0.3,True,fitted,False,1.0,-14.224871523739463,6.640744808940111e-07,3.248867235198315e-06,3.0
common,balanced_q1,1000,256,20,0.396581902659872,0,True,1,382,True,1,382,False,True,0,True,0.3,True,empirical_mode,False,113.0,-39.05215211002031,1.0961395103369115e-17,3.912941716081365e-06,
common,balanced_q1,1000,256,20,0.396581902659872,0,True,1,382,True,1,382,False,True,0,True,0.3,True,ld_sign,True,0.0,-12.451221109788838,3.912941716092313e-06,1.3552527156068805e-20,1.0
common,balanced_q1,1000,256,21,0.22739496475036625,0,True,0,772,True,1,772,False,True,0,True,0.3,True,fitted,True,0.0,-13.268099059688634,1.7287722911282053e-06,1.2281977735187355e-20,1.0
common,balanced_q1,1000,256,21,0.22739496475036625,0,True,0,772,True,1,772,False,True,0,True,0.3,True,empirical_mode,False,140.0,-50.031118192768766,1.8696548714296118e-22,1.7287722911282173e-06,
common,balanced_q1,1000,256,21,0.22739496475036625,0,True,0,772,True,1,772,False,True,0,True,0.3,True,ld_sign,True,0.0,-13.268099059688634,1.7287722911282053e-06,1.2281977735187355e-20,1.0
